21870;U;871.000;43.47;481.22 
21886;U;887.000;323.12;281.58 
21892;U;893.000;172.84;347.38 
21951;P;230.902;131.01;211.27 
21961;P;230.922;124.04;674.02 
21968;U;969.000;410.67;11.64 
21974;U;975.000;260.39;77.42 
21981;P;230.962;110.11;143.20 
21984;U;985.000;253.41;540.20 
21984;U;985.000;253.41;540.20 
21987;P;230.974;396.72;209.00 
21990;U;991.000;103.13;605.98 
21994;U;995.000;246.44;274.78 
21997;P;230.994;389.76;671.76 
22003;P;240.006;239.47;9.38 
22118;U;119.000;12.52;68.36 
22124;U;125.000;299.15;134.13 
22134;U;135.000;292.17;596.89 
22137;P;204.274;435.48;265.71 
22147;P;204.294;428.51;33.29 
22154;U;155.000;278.23;66.07 
22157;P;240.314;421.55;463.07 
22163;P;240.326;271.25;528.84 
22170;U;171.000;120.97;594.62 
22177;P;240.354;407.60;660.42 
22180;U;181.000;114.00;329.22 
22186;U;187.000;400.63;395.00 
22193;P;240.386;250.35;460.78 
22196;U;197.000;393.65;129.60 
12861;P;500.722;225.17;604.16 
12923;P;500.846;326.67;136.87 
12926;U;927.000;33.07;533.84 
12932;U;933.000;319.69;599.62 
12946;U;947.000;19.13;3.02 
12952;U;953.000;305.76;68.80 
12955;P;500.910;12.16;465.78 
12959;P;500.918;155.48;134.60 
12962;U;963.000;298.79;531.58 
12965;P;500.930;5.19;200.38 
12968;U;969.000;148.51;597.36 
12972;U;973.000;291.81;266.16 
12978;U;979.000;141.53;331.96 
12981;P;500.962;284.84;0.76 
12985;P;500.970;428.16;397.73 
12988;U;989.000;134.56;66.53 
12991;P;500.982;277.88;463.51 
12995;P;500.990;421.19;132.31 
13177;P;600.354;145.44;517.96
15251;P;100.502;272.03;651.76 
15643;P;110.286;430.12;229.80 
15663;P;110.326;416.17;427.18 
15669;P;110.338;265.89;492.96 
15672;U;673.000;409.20;161.76 
15679;P;110.358;258.92;227.53 
15685;P;110.370;108.64;293.33 
15689;P;110.378;251.95;690.31 
15692;U;693.000;395.27;359.11 
15698;U;699.000;244.99;424.89 
15702;U;703.000;388.29;93.71 
15705;P;110.410;94.69;490.69 
15708;U;709.000;238.01;159.49 
15711;P;110.422;381.32;556.47 
15718;U;719.000;231.04;622.24 
15721;P;110.442;374.35;291.07 
15725;P;110.450;80.76;688.04 
15728;U;729.000;224.07;356.84 
15731;P;110.462;367.39;25.64 
15734;U;735.000;73.79;422.62 
15738;U;739.000;217.09;91.42 
15741;P;110.482;360.41;488.42 
15744;U;745.000;66.81;157.22 
15751;P;110.502;353.44;223.00 
15754;U;755.000;59.84;619.98 
15757;P;110.514;203.16;288.78 
15760;U;761.000;346.47;685.78 
15767;P;110.534;196.19;23.38 
15770;U;771.000;339.49;420.36 
15774;U;775.000;45.91;89.16 
15780;U;781.000;332.53;154.96 
15783;P;110.566;38.93;551.93 
15787;P;101.574;182.24;220.73 
15796;U;797.000;175.28;683.51 
15800;U;801.000;318.59;352.31 
15809;P;101.618;311.61;86.89 
15813;P;101.626;18.03;483.87 
15816;U;817.000;161.33;152.69 
15819;P;110.638;304.65;549.67 
15823;P;110.646;11.05;218.47 
15826;U;827.000;154.36;615.44 
15832;U;833.000;4.08;681.22 
15836;U;837.000;147.40;350.04 
15839;P;110.678;290.71;18.84 
16002;U;300.000;28.89;207.11 
16009;P;120.018;315.52;272.91 
16012;U;103.000;21.93;669.89 
16015;P;1020.030;165.24;338.69 
16018;U;1900.000;308.55;7.49 
16025;P;1200.050;158.27;73.29 
16028;U;2900.000;301.59;470.27 
16032;U;3300.000;7.99;139.07 
16035;P;1200.070;151.29;536.04 
16038;U;3900.000;294.61;204.84 
16041;P;1200.082;1.01;601.82 
16045;P;1200.090;144.33;270.64 
16077;P;1200.154;266.73;599.56 
16080;U;8100.000;410.04;268.36 
16084;U;850.000;116.44;665.36 
